,movieId,title,rating,genres,tag_y
0,1,toy story,3.9209302325581397,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']","['pixar', 'pixar', 'fun']"
3,2,jumanji,3.4318181818181817,"['Adventure', 'Children', 'Fantasy']","['fantasy', 'magic board game', 'Robin Williams', 'game']"
7,3,grumpier old men,3.2596153846153846,"['Comedy', 'Romance']","['moldy', 'old']"
9,4,waiting to exhale,2.357142857142857,"['Comedy', 'Drama', 'Romance']",[nan]
10,5,father of the bride part ii,3.0714285714285716,['Comedy'],"['pregnancy', 'remake']"
12,6,heat,3.946078431372549,"['Action', 'Crime', 'Thriller']",[nan]
13,7,sabrina,3.185185185185185,"['Comedy', 'Romance']",['remake']
14,8,tom and huck,2.875,"['Adventure', 'Children']",[nan]
15,9,sudden death,3.125,['Action'],[nan]
16,10,goldeneye,3.496212121212121,"['Action', 'Adventure', 'Thriller']",[nan]
17,11,"american president, the",3.6714285714285713,"['Comedy', 'Drama', 'Romance']","['politics', 'president']"
19,12,dracula: dead and loving it,2.4210526315789473,"['Comedy', 'Horror']",[nan]
20,13,balto,3.125,"['Adventure', 'Animation', 'Children']",[nan]
21,14,nixon,3.8333333333333335,['Drama'],"['politics', 'president']"
23,15,cutthroat island,3.0,"['Action', 'Adventure', 'Romance']",[nan]
24,16,casino,3.926829268292683,"['Crime', 'Drama']",['Mafia']
25,17,sense and sensibility,3.7761194029850746,"['Drama', 'Romance']",['Jane Austen']
26,18,four rooms,3.7,['Comedy'],[nan]
27,19,ace ventura: when nature calls,2.727272727272727,['Comedy'],[nan]
28,20,money train,2.5,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",[nan]
29,21,get shorty,3.49438202247191,"['Comedy', 'Crime', 'Thriller']",['Hollywood']
30,22,copycat,3.2222222222222223,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",['serial killer']
31,23,assassins,3.125,"['Action', 'Crime', 'Thriller']",[nan]
32,24,powder,3.125,"['Drama', 'Sci-Fi']",[nan]
33,25,leaving las vegas,3.625,"['Drama', 'Romance']",['alcoholism']
34,26,othello,3.5,['Drama'],['Shakespeare']
35,27,now and then,3.3333333333333335,"['Children', 'Drama']",[nan]
36,28,persuasion,4.2272727272727275,"['Drama', 'Romance']","['In Netflix queue', 'Jane Austen']"
38,29,"city of lost children, the",4.0131578947368425,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",['kidnapping']
39,30,shanghai triad,3.0,"['Crime', 'Drama']",[nan]
40,31,dangerous minds,3.1842105263157894,['Drama'],"['high school', 'teacher']"
42,32,twelve monkeys,3.983050847457627,"['Mystery', 'Sci-Fi', 'Thriller']","['time travel', 'time travel', 'Brad Pitt', 'Bruce Willis', 'mindfuck', 'Post apocalyptic', 'post-apocalyptic', 'remake', 'time travel', 'twist ending']"
52,34,babe,3.65234375,"['Children', 'Drama']","['Animal movie', 'pigs', 'villain nonexistent or not needed for good story']"
55,36,dead man walking,3.8358208955223883,"['Crime', 'Drama']","['death penalty', 'Nun']"
57,38,it takes two,2.125,"['Children', 'Comedy']",['twins']
58,39,clueless,3.293269230769231,"['Comedy', 'Romance']","['chick flick', 'funny', 'Paul Rudd', 'quotable', 'seen more than once', 'Emma', 'Jane Austen']"
65,40,"cry, the beloved country",4.25,['Drama'],"['In Netflix queue', 'South Africa']"
67,41,richard iii,3.7,"['Drama', 'War']",['Shakespeare']
68,42,dead presidents,3.0,"['Action', 'Crime', 'Drama']",[nan]
69,43,restoration,3.1875,['Drama'],['England']
70,44,mortal kombat,2.5434782608695654,"['Action', 'Adventure', 'Fantasy']",[nan]
71,45,to die for,3.3125,"['Comedy', 'Drama', 'Thriller']",['Journalism']
72,46,how to make an american quilt,3.066666666666667,"['Drama', 'Romance']",['wedding']
73,47,seven,3.9753694581280787,"['Mystery', 'Thriller']","['mystery', 'twist ending', 'serial killer']"
